Match_id,Team 1,Team 2,Winners_inng,Venue,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Year
1,Australia,England,2,Melbourne,"Jan 5, 1971",Australia,Australia,Home,Away,Second,First,1971
2,England,Australia,2,Manchester,"Aug 24, 1972",England,England,Home,Away,Second,First,1972
3,England,Australia,2,Lord's,"Aug 26, 1972",Australia,England,Home,Away,First,Second,1972
4,England,Australia,2,Birmingham,"Aug 28, 1972",England,England,Home,Away,Second,First,1972
5,New Zealand,Pakistan,1,Christchurch,"Feb 11, 1973",New Zealand,New Zealand,Home,Away,First,Second,1973
6,England,New Zealand,2,Swansea,"Jul 18, 1973",England,England,Home,Away,Second,First,1973
8,England,West Indies,2,Leeds,"Sep 5, 1973",England,England,Home,Away,Second,First,1973
9,England,West Indies,2,The Oval,"Sep 7, 1973",West Indies,England,Home,Away,First,Second,1973
10,New Zealand,Australia,2,Dunedin,"Mar 30, 1974",Australia,New Zealand,Home,Away,First,Second,1974
11,New Zealand,Australia,1,Christchurch,"Mar 31, 1974",Australia,New Zealand,Home,Away,Second,First,1974
12,England,India,2,Leeds,"Jul 13, 1974",England,England,Home,Away,Second,First,1974
13,England,India,2,The Oval,"Jul 15-16, 1974",England,England,Home,Away,Second,First,1974
14,England,Pakistan,2,Nottingham,"Aug 31, 1974",Pakistan,England,Home,Away,First,Second,1974
15,England,Pakistan,2,Birmingham,"Sep 3, 1974",Pakistan,England,Home,Away,First,Second,1974
16,Australia,England,2,Melbourne,"Jan 1, 1975",England,Australia,Home,Away,First,Second,1975
19,England,India,1,Lord's,"Jun 7, 1975",England,England,Home,Away,First,Second,1975
20,East Africa,New Zealand,1,Birmingham,"Jun 7, 1975",New Zealand,England,Neutral,Neutral,Second,First,1975
21,Australia,Pakistan,1,Leeds,"Jun 7, 1975",Australia,England,Neutral,Neutral,First,Second,1975
22,Sri Lanka,West Indies,2,Manchester,"Jun 7, 1975",West Indies,England,Neutral,Neutral,First,Second,1975
23,England,New Zealand,1,Nottingham,"Jun 11, 1975",England,England,Home,Away,First,Second,1975
24,East Africa,India,2,Leeds,"Jun 11, 1975",India,England,Neutral,Neutral,First,Second,1975
25,Australia,Sri Lanka,1,The Oval,"Jun 11, 1975",Australia,England,Neutral,Neutral,First,Second,1975
26,Pakistan,West Indies,2,Birmingham,"Jun 11, 1975",West Indies,England,Neutral,Neutral,First,Second,1975
27,England,East Africa,1,Birmingham,"Jun 14, 1975",England,England,Home,Away,First,Second,1975
28,India,New Zealand,2,Manchester,"Jun 14, 1975",New Zealand,England,Neutral,Neutral,First,Second,1975
29,Australia,West Indies,2,The Oval,"Jun 14, 1975",West Indies,England,Neutral,Neutral,First,Second,1975
30,Pakistan,Sri Lanka,1,Nottingham,"Jun 14, 1975",Pakistan,England,Neutral,Neutral,First,Second,1975
31,England,Australia,2,Leeds,"Jun 18, 1975",Australia,England,Home,Away,First,Second,1975
32,New Zealand,West Indies,2,The Oval,"Jun 18, 1975",West Indies,England,Neutral,Neutral,First,Second,1975
33,Australia,West Indies,1,Lord's,"Jun 21, 1975",West Indies,England,Neutral,Neutral,Second,First,1975
34,Australia,West Indies,2,Adelaide,"Dec 20, 1975",Australia,Australia,Home,Away,Second,First,1975
35,New Zealand,India,2,Christchurch,"Feb 21, 1976",New Zealand,New Zealand,Home,Away,Second,First,1976
36,New Zealand,India,1,Auckland,"Feb 22, 1976",New Zealand,New Zealand,Home,Away,First,Second,1976
37,England,West Indies,2,Scarborough,"Aug 26, 1976",West Indies,England,Home,Away,First,Second,1976
38,England,West Indies,1,Lord's,"Aug 28-29, 1976",West Indies,England,Home,Away,Second,First,1976
39,England,West Indies,1,Birmingham,"Aug 30-31, 1976",West Indies,England,Home,Away,Second,First,1976
40,Pakistan,New Zealand,1,Sialkot,"Oct 16, 1976",New Zealand,Pakistan,Home,Away,Second,First,1976
41,West Indies,Pakistan,2,Albion,"Mar 16, 1977",West Indies,West Indies,Home,Away,Second,First,1977
42,England,Australia,2,Manchester,"Jun 2, 1977",England,England,Home,Away,Second,First,1977
43,England,Australia,1,Birmingham,"Jun 4, 1977",England,England,Home,Away,First,Second,1977
44,England,Australia,2,The Oval,"Jun 6, 1977",Australia,England,Home,Away,First,Second,1977
45,Pakistan,England,2,Sahiwal,"Dec 23, 1977",England,Pakistan,Home,Away,First,Second,1977
46,Pakistan,England,2,Sialkot,"Dec 30, 1977",England,Pakistan,Home,Away,First,Second,1977
47,Pakistan,England,1,Lahore,"Jan 13, 1978",Pakistan,Pakistan,Home,Away,First,Second,1978
48,West Indies,Australia,1,St John's,"Feb 22, 1978",West Indies,West Indies,Home,Away,First,Second,1978
49,West Indies,Australia,2,Castries,"Apr 12, 1978",Australia,West Indies,Home,Away,First,Second,1978
50,England,Pakistan,1,Manchester,"May 24-25, 1978",England,England,Home,Away,First,Second,1978
51,England,Pakistan,1,The Oval,"May 26, 1978",England,England,Home,Away,First,Second,1978
52,England,New Zealand,1,Scarborough,"Jul 15, 1978",England,England,Home,Away,First,Second,1978
53,England,New Zealand,1,Manchester,"Jul 17, 1978",England,England,Home,Away,First,Second,1978
54,Pakistan,India,1,Quetta,"Oct 1, 1978",India,Pakistan,Home,Away,Second,First,1978
55,Pakistan,India,2,Sialkot,"Oct 13, 1978",Pakistan,Pakistan,Home,Away,Second,First,1978
58,Australia,England,2,Melbourne,"Jan 24, 1979",England,Australia,Home,Away,First,Second,1979
59,Australia,England,2,Melbourne,"Feb 4, 1979",Australia,Australia,Home,Away,Second,First,1979
60,Australia,England,2,Melbourne,"Feb 7, 1979",Australia,Australia,Home,Away,Second,First,1979
61,India,West Indies,2,Birmingham,"Jun 9, 1979",West Indies,England,Neutral,Neutral,First,Second,1979
62,New Zealand,Sri Lanka,2,Nottingham,"Jun 9, 1979",New Zealand,England,Neutral,Neutral,Second,First,1979
63,England,Australia,2,Lord's,"Jun 9, 1979",England,England,Home,Away,Second,First,1979
64,Canada,Pakistan,2,Leeds,"Jun 9, 1979",Pakistan,England,Neutral,Neutral,First,Second,1979
65,India,New Zealand,2,Leeds,"Jun 13, 1979",New Zealand,England,Neutral,Neutral,First,Second,1979
66,Australia,Pakistan,1,Nottingham,"Jun 13-14, 1979",Pakistan,England,Neutral,Neutral,Second,First,1979
67,England,Canada,2,Manchester,"Jun 13-14, 1979",England,England,Home,Away,Second,First,1979
68,India,Sri Lanka,1,Manchester,"Jun 16-18, 1979",Sri Lanka,England,Neutral,Neutral,Second,First,1979
69,New Zealand,West Indies,1,Nottingham,"Jun 16, 1979",West Indies,England,Neutral,Neutral,Second,First,1979
70,Australia,Canada,2,Birmingham,"Jun 16, 1979",Australia,England,Neutral,Neutral,Second,First,1979
71,England,Pakistan,1,Leeds,"Jun 16, 1979",England,England,Home,Away,First,Second,1979
72,England,New Zealand,1,Manchester,"Jun 20, 1979",England,England,Home,Away,First,Second,1979
73,Pakistan,West Indies,1,The Oval,"Jun 20, 1979",West Indies,England,Neutral,Neutral,Second,First,1979
74,England,West Indies,1,Lord's,"Jun 23, 1979",West Indies,England,Home,Away,Second,First,1979
75,Australia,West Indies,2,Sydney,"Nov 27, 1979",Australia,Australia,Home,Away,Second,First,1979
76,England,West Indies,1,Sydney,"Nov 28, 1979",England,Australia,Neutral,Neutral,First,Second,1979
77,Australia,England,2,Melbourne,"Dec 8, 1979",England,Australia,Home,Away,First,Second,1979
78,Australia,West Indies,1,Melbourne,"Dec 9, 1979",West Indies,Australia,Home,Away,Second,First,1979
79,Australia,England,1,Sydney,"Dec 11, 1979",England,Australia,Home,Away,Second,First,1979
80,Australia,West Indies,1,Sydney,"Dec 21, 1979",Australia,Australia,Home,Away,First,Second,1979
81,England,West Indies,2,Brisbane,"Dec 23, 1979",West Indies,Australia,Neutral,Neutral,First,Second,1979
82,Australia,England,2,Sydney,"Dec 26, 1979",England,Australia,Home,Away,First,Second,1979
83,Australia,England,2,Sydney,"Jan 14, 1980",England,Australia,Home,Away,First,Second,1980
84,England,West Indies,1,Adelaide,"Jan 16, 1980",West Indies,Australia,Neutral,Neutral,Second,First,1980
85,Australia,West Indies,1,Sydney,"Jan 18, 1980",Australia,Australia,Home,Away,First,Second,1980
86,England,West Indies,1,Melbourne,"Jan 20, 1980",West Indies,Australia,Neutral,Neutral,Second,First,1980
87,England,West Indies,2,Sydney,"Jan 22, 1980",West Indies,Australia,Neutral,Neutral,First,Second,1980
88,New Zealand,West Indies,2,Christchurch,"Feb 6, 1980",New Zealand,New Zealand,Home,Away,Second,First,1980
89,England,West Indies,1,Leeds,"May 28-29, 1980",West Indies,England,Home,Away,Second,First,1980
90,England,West Indies,2,Lord's,"May 30, 1980",England,England,Home,Away,Second,First,1980
91,England,Australia,1,The Oval,"Aug 20, 1980",England,England,Home,Away,First,Second,1980
92,England,Australia,1,Birmingham,"Aug 22, 1980",England,England,Home,Away,First,Second,1980
93,Pakistan,West Indies,2,Karachi,"Nov 21, 1980",West Indies,Pakistan,Home,Away,First,Second,1980
94,Australia,New Zealand,2,Adelaide,"Nov 23, 1980",New Zealand,Australia,Home,Away,First,Second,1980
95,Australia,New Zealand,1,Sydney,"Nov 25, 1980",Australia,Australia,Home,Away,First,Second,1980
96,Pakistan,West Indies,2,Sialkot,"Dec 5, 1980",West Indies,Pakistan,Home,Away,First,Second,1980
97,Australia,India,1,Melbourne,"Dec 6, 1980",India,Australia,Home,Away,Second,First,1980
98,Australia,New Zealand,2,Melbourne,"Dec 7, 1980",Australia,Australia,Home,Away,Second,First,1980
99,India,New Zealand,1,Perth,"Dec 9, 1980",India,Australia,Neutral,Neutral,First,Second,1980
100,Australia,India,2,Sydney,"Dec 18, 1980",Australia,Australia,Home,Away,Second,First,1980
101,Pakistan,West Indies,1,Lahore,"Dec 19, 1980",West Indies,Pakistan,Home,Away,Second,First,1980
102,India,New Zealand,2,Brisbane,"Dec 21, 1980",New Zealand,Australia,Neutral,Neutral,First,Second,1980
103,India,New Zealand,1,Adelaide,"Dec 23, 1980",India,Australia,Neutral,Neutral,First,Second,1980
104,Australia,India,2,Sydney,"Jan 8, 1981",Australia,Australia,Home,Away,Second,First,1981
105,India,New Zealand,2,Melbourne,"Jan 10, 1981",New Zealand,Australia,Neutral,Neutral,First,Second,1981
106,Australia,India,2,Melbourne,"Jan 11, 1981",Australia,Australia,Home,Away,Second,First,1981
107,Australia,New Zealand,1,Sydney,"Jan 13, 1981",New Zealand,Australia,Home,Away,Second,First,1981
108,Australia,India,1,Sydney,"Jan 15, 1981",Australia,Australia,Home,Away,First,Second,1981
109,India,New Zealand,1,Brisbane,"Jan 18, 1981",New Zealand,Australia,Neutral,Neutral,Second,First,1981
111,Australia,New Zealand,1,Sydney,"Jan 29, 1981",New Zealand,Australia,Home,Away,Second,First,1981
112,Australia,New Zealand,2,Melbourne,"Jan 31, 1981",Australia,Australia,Home,Away,Second,First,1981
113,Australia,New Zealand,1,Melbourne,"Feb 1, 1981",Australia,Australia,Home,Away,First,Second,1981
114,Australia,New Zealand,2,Sydney,"Feb 3, 1981",Australia,Australia,Home,Away,Second,First,1981
115,West Indies,England,1,Kingstown,"Feb 4, 1981",West Indies,West Indies,Home,Away,First,Second,1981
116,New Zealand,India,1,Auckland,"Feb 14, 1981",New Zealand,New Zealand,Home,Away,First,Second,1981
117,New Zealand,India,1,Hamilton,"Feb 15, 1981",New Zealand,New Zealand,Home,Away,First,Second,1981
118,West Indies,England,2,Albion,"Feb 26, 1981",West Indies,West Indies,Home,Away,Second,First,1981
119,England,Australia,2,Lord's,"Jun 4, 1981",England,England,Home,Away,Second,First,1981
120,England,Australia,1,Birmingham,"Jun 6, 1981",Australia,England,Home,Away,Second,First,1981
121,England,Australia,1,Leeds,"Jun 8, 1981",Australia,England,Home,Away,Second,First,1981
122,Pakistan,West Indies,1,Melbourne,"Nov 21, 1981",West Indies,Australia,Neutral,Neutral,Second,First,1981
123,Australia,Pakistan,2,Melbourne,"Nov 22, 1981",Pakistan,Australia,Home,Away,First,Second,1981
124,Australia,West Indies,2,Sydney,"Nov 24, 1981",Australia,Australia,Home,Away,Second,First,1981
125,India,England,2,Ahmedabad,"Nov 25, 1981",England,India,Home,Away,First,Second,1981
126,Pakistan,West Indies,1,Adelaide,"Dec 5, 1981",Pakistan,Australia,Neutral,Neutral,First,Second,1981
127,Australia,Pakistan,1,Adelaide,"Dec 6, 1981",Australia,Australia,Home,Away,First,Second,1981
128,Australia,Pakistan,2,Sydney,"Dec 17, 1981",Pakistan,Australia,Home,Away,First,Second,1981
129,Pakistan,West Indies,2,Perth,"Dec 19, 1981",West Indies,Australia,Neutral,Neutral,First,Second,1981
130,Australia,West Indies,2,Perth,"Dec 20, 1981",West Indies,Australia,Home,Away,First,Second,1981
131,India,England,2,Jalandhar,"Dec 20, 1981",India,India,Home,Away,Second,First,1981
132,Australia,Pakistan,1,Melbourne,"Jan 9, 1982",Pakistan,Australia,Home,Away,Second,First,1982
133,Australia,West Indies,2,Melbourne,"Jan 10, 1982",West Indies,Australia,Home,Away,First,Second,1982
134,Pakistan,West Indies,2,Sydney,"Jan 12, 1982",West Indies,Australia,Neutral,Neutral,First,Second,1982
135,Australia,Pakistan,1,Sydney,"Jan 14, 1982",Australia,Australia,Home,Away,First,Second,1982
136,Pakistan,West Indies,2,Brisbane,"Jan 16, 1982",West Indies,Australia,Neutral,Neutral,First,Second,1982
137,Australia,West Indies,2,Brisbane,"Jan 17, 1982",West Indies,Australia,Home,Away,First,Second,1982
138,Australia,West Indies,1,Sydney,"Jan 19, 1982",Australia,Australia,Home,Away,First,Second,1982
139,Australia,West Indies,1,Melbourne,"Jan 23, 1982",West Indies,Australia,Home,Away,Second,First,1982
140,Australia,West Indies,1,Melbourne,"Jan 24, 1982",West Indies,Australia,Home,Away,Second,First,1982
141,Australia,West Indies,1,Sydney,"Jan 26, 1982",Australia,Australia,Home,Away,First,Second,1982
142,Australia,West Indies,1,Sydney,"Jan 27, 1982",West Indies,Australia,Home,Away,Second,First,1982
143,India,England,2,Cuttack,"Jan 27, 1982",India,India,Home,Away,Second,First,1982
144,New Zealand,Australia,1,Auckland,"Feb 13, 1982",New Zealand,New Zealand,Home,Away,First,Second,1982
